CNIC,CDR Number,activate at
76233750837,923949789,2023-02-01 00:00:00
76233750837,923008193,2020-11-17 00:00:00
41598376372,923477054,2020-01-11 00:00:00
41598376372,923893246,2020-11-23 00:00:00
31454161944,923333123,2022-02-02 00:00:00
31454161944,923941663,2021-02-14 00:00:00
59384740669,923165771,2020-11-30 00:00:00
59384740669,923071276,2020-05-22 00:00:00
34013232891,923187929,2022-04-02 00:00:00
34013232891,923267515,2019-12-07 00:00:00
89131086880,923047243,2019-12-01 00:00:00
89131086880,923825975,2022-04-28 00:00:00
75616372421,923964387,2019-08-08 00:00:00
75616372421,923902708,2021-07-09 00:00:00
58938913485,923194868,2021-09-03 00:00:00
58938913485,923114298,2020-07-04 00:00:00
87636555845,923072493,2020-03-18 00:00:00
87636555845,923939038,2021-11-03 00:00:00
99864050522,923000153,2020-08-18 00:00:00
99864050522,923389470,2022-05-23 00:00:00
96576057407,923958998,2020-04-19 00:00:00
96576057407,923423738,2020-10-07 00:00:00
26163115923,923150813,2020-11-04 00:00:00
26163115923,923992413,2019-08-03 00:00:00
46898324468,923651837,2023-07-04 00:00:00
46898324468,923801044,2021-01-12 00:00:00
12743646049,923508093,2021-05-13 00:00:00
12743646049,923936109,2023-03-01 00:00:00
37199181987,923386339,2022-11-29 00:00:00
37199181987,923981282,2019-02-17 00:00:00
63140725362,923019608,2022-06-20 00:00:00
63140725362,923358496,2021-01-28 00:00:00
94841559691,923076422,2019-01-04 00:00:00
94841559691,923873316,2019-03-27 00:00:00
52139066206,923123681,2021-10-14 00:00:00
52139066206,923383507,2022-01-14 00:00:00
18542672071,923200587,2022-12-05 00:00:00
18542672071,923330866,2022-02-22 00:00:00
34961826447,923616513,2023-08-04 00:00:00
34961826447,923465059,2021-06-17 00:00:00
10167251616,923248945,2022-04-08 00:00:00
10167251616,923544463,2023-04-15 00:00:00
39486919814,923959364,2019-08-20 00:00:00
39486919814,923707165,2019-05-22 00:00:00
41815147624,923846586,2022-04-10 00:00:00
41815147624,923018089,2022-08-15 00:00:00
76594917657,923348923,2022-08-16 00:00:00
76594917657,923642419,2022-09-30 00:00:00
88970148568,923270183,2023-08-02 00:00:00
