case number,status,suspect
U958Y,closed,79681600009
9VA4U,closed,25885608868
2OEiz,pending,47060329399
2OEiz,pending,52318544007
2OEiz,pending,70941028567
2OEiz,pending,20537090540
2OEiz,pending,98288033322
JBMT7,pending,91920341486
JBMT7,pending,35940067027
JBMT7,pending,77161092160
JBMT7,pending,66151679073
JBMT7,pending,67798784957
Y8TjT,pending,82820154422
Y8TjT,pending,86633218698
Y8TjT,pending,90133870197
Y8TjT,pending,13447685484
Y8TjT,pending,90645598880
Y8TjT,pending,10739744378
Y8TjT,pending,87963791109
Y8TjT,pending,90119762393
Y8TjT,pending,11416172263
BxRJi,pending,99279948796
BxRJi,pending,71952253859
BxRJi,pending,91067233350
BxRJi,pending,49611048688
BxRJi,pending,77815854568
BxRJi,pending,10575844518
BxRJi,pending,40605794656
BxRJi,pending,14953135550
BxRJi,pending,81374137760
BxRJi,pending,79785199004
7kGut,closed,53265258947
7kGut,closed,53718874651
7kGut,closed,82612179654
7kGut,closed,61256657064
7kGut,closed,25565737717
7kGut,closed,29305962211
7kGut,closed,87386650109
7kGut,closed,19011035743
RsylK,pending,12308265425
RsylK,pending,34575634577
RsylK,pending,98456340331
RsylK,pending,28224436860
RsylK,pending,10946190431
RsylK,pending,23012596317
RsylK,pending,61498039245
RsylK,pending,45585586673
RsylK,pending,64997153876
RsylK,pending,91163831815
hzvLI,closed,63098448511
hzvLI,closed,60349124605
hzvLI,closed,83143806829
hzvLI,closed,46372071982
hzvLI,closed,79557239811
eEIdu,closed,35054234008
eEIdu,closed,86746778116
HEvgF,closed,37482099279
HEvgF,closed,61895400495
HEvgF,closed,57846808938
HEvgF,closed,84038109705
HEvgF,closed,99659614175
QSgNO,pending,11226512829
QSgNO,pending,99741567158
QSgNO,pending,66844395979
QSgNO,pending,31570714423
QSgNO,pending,41825914870
6jSv7,closed,63324647179
6jSv7,closed,98596010240
6jSv7,closed,47214402818
6jSv7,closed,39342320996
6jSv7,closed,57004061889
6jSv7,closed,16631921785
wOC08,closed,58146400499
wOC08,closed,16162326997
wOC08,closed,10430664212
wOC08,closed,63467292040
wOC08,closed,63414273556
wOC08,closed,64840831541
wOC08,closed,54256754544
wOC08,closed,88193038825
wOC08,closed,97862335292
wOC08,closed,60753099576
b2AQ2,pending,19487753335
b2AQ2,pending,63024747422
b2AQ2,pending,90671759399
b2AQ2,pending,95050190451
b2AQ2,pending,87959096738
b2AQ2,pending,54766588335
b2AQ2,pending,23434487967
b2AQ2,pending,71974142703
y7Qst,pending,67798784957
y7Qst,pending,22361023564
y7Qst,pending,85045119695
3TalP,closed,10183537929
3TalP,closed,66550040132
P3ppO,closed,64919197681
P3ppO,closed,59360248854
SVF5U,closed,71830305960
SVF5U,closed,44554344818
SVF5U,closed,24068851864
SVF5U,closed,41122562951
SVF5U,closed,70500489904
SVF5U,closed,11857789869
SVF5U,closed,65537980432
SVF5U,closed,86499465731
SVF5U,closed,20842076657
vHpn6,pending,57404993745
vHpn6,pending,76754178266
vHpn6,pending,96576057407
vHpn6,pending,10358586219
vHpn6,pending,55091635061
vHpn6,pending,26655389283
vHpn6,pending,52728192338
vHpn6,pending,36615680712
vHpn6,pending,97319245050
cSH11,closed,89945472494
cSH11,closed,66653932296
cSH11,closed,33895580415
cSH11,closed,52403046791
cSH11,closed,35267904829
cSH11,closed,63003568035
cSH11,closed,40679857823
cSH11,closed,34005891792
cSH11,closed,71074038062
cSH11,closed,90159835448
QqbwC,closed,74475631697
QqbwC,closed,13124992083
QqbwC,closed,40637437124
QqbwC,closed,74104365585
QqbwC,closed,10276639561
QqbwC,closed,12834771931
QqbwC,closed,65187218565
QqbwC,closed,73356721755
QqbwC,closed,55230258604
QqbwC,closed,82281426485
DX5HQ,pending,24914075422
DX5HQ,pending,88457725112
DX5HQ,pending,84832508838
DX5HQ,pending,95216522902
OLNQA,closed,44003138587
OLNQA,closed,94425165375
OLNQA,closed,57183042196
OLNQA,closed,24362368516
OLNQA,closed,17484114610
GT9dH,pending,50455313428
48Z1s,closed,59384740669
48Z1s,closed,79444758117
48Z1s,closed,72953859506
0lHPi,closed,13818627530
8ZOlh,closed,25586681634
8ZOlh,closed,67285225740
8ZOlh,closed,36578548415
8ZOlh,closed,30553772267
cMUnp,pending,31665729464
cMUnp,pending,39751521212
cMUnp,pending,13497818215
cMUnp,pending,63142026947
cMUnp,pending,73948916773
cMUnp,pending,30417868475
cMUnp,pending,86773501174
cMUnp,pending,31685108235
cMUnp,pending,92062261662
cMUnp,pending,65780500058
8OE79,closed,21177190557
8OE79,closed,42252696562
8OE79,closed,44667377919
8OE79,closed,99025770083
8OE79,closed,97753179767
a1oHH,closed,60244826745
wY373,closed,96328881695
wY373,closed,74523804191
wY373,closed,67582571088
wY373,closed,82647516586
wY373,closed,36204069418
wY373,closed,80201035106
wY373,closed,93122961669
