Passport Number,Exit Date,Entry Date,Flight Number,Departure Country
GiOpdQvAATTx,2022-10-02,2023-07-24,9894,Germany
FCVQ5A4KsMx7,2022-08-08,2023-04-09,3375,China
jgYDZXJOkbHT,2023-09-30,2023-06-06,2008,South Korea
r6nJdBxmCKKm,2023-05-24,2023-05-28,5104,Germany
kzm9lA8JhV5s,2023-01-16,2023-06-13,2210,Australia
52DbUFXz2lii,2022-04-09,2023-11-27,3295,Canada
rdpfSR25nNFo,2022-11-25,2023-04-12,2535,Canada
31jzqE5nE5SE,2022-09-05,2023-05-21,5104,Brazil
Q6oySwabagxG,2022-07-11,2023-06-02,2028,France
k4JjhGkScYKH,2023-10-23,2023-01-11,1376,Japan
k1K6TJD8wy6M,2023-11-14,2023-07-16,7929,Brazil
RhJEzy1PR5iH,2022-07-12,2023-04-11,9227,Brazil
Ai92t5BxPNpt,2022-07-09,2023-09-13,2848,Brazil
7p3n5R4TP1Ao,2023-12-04,2023-04-25,6925,South Korea
Kr2Hx6LnQzXW,2023-05-20,2023-08-26,4105,UK
RauWzECkCAsP,2023-11-20,2023-12-26,2226,Germany
KkDK7iWBAn1C,2023-01-13,2023-11-11,5428,Canada
FsgVnbz5erfI,2022-01-08,2023-04-25,3664,USA
AsspXeB5eUEM,2023-07-02,2023-05-05,4534,China
xPJA7DniWKWn,2022-10-15,2023-09-18,1781,USA
LqPdcuVw6Jgb,2023-01-18,2023-03-04,8667,Japan
0AhgnBAYOWkB,2022-03-24,2023-01-03,9872,China
yW5AkcmXWMVe,2022-09-23,2023-04-07,9412,Brazil
Y4xNVUzVOYtb,2022-07-04,2023-04-26,6991,Canada
1C9Y5HsTkpm7,2022-08-12,2023-02-27,1754,Canada
ZSiY0YRT4ZFI,2022-11-23,2023-07-18,8704,USA
CUdAWl9t85py,2022-06-12,2023-04-06,7947,Canada
2fXyJxTBiveB,2023-08-22,2023-09-30,1387,UK
RMbN0zcDvXJu,2022-01-08,2023-07-22,6368,USA
KOhnvgcRlE95,2023-05-23,2023-08-19,7668,Japan
ZK77e3WUGeVX,2023-01-14,2023-12-06,1239,Germany
15W6GBCpOAnu,2022-12-31,2023-10-08,7711,Canada
X4jVM9HoXr7f,2022-10-13,2023-04-26,9327,Germany
qlR9cZHFvucQ,2022-04-21,2023-04-25,8363,Brazil
0ZyIoM4V5OUB,2023-02-17,2023-07-29,3743,Germany
yYxcFft4pr4N,2023-07-25,2023-09-10,7266,Australia
oPCYgpZOr1jB,2023-04-26,2023-06-29,2771,France
erZAYC0BtErU,2023-05-11,2023-05-01,5125,Canada
83DwI7IJ5aPp,2023-12-27,2023-10-22,2554,UK
7Fy3arox8WMp,2022-05-11,2023-05-23,8765,Australia
